Date,Open,High,Low,Close,Quantity,PERatio
20110408,36.40,37.80,36.40,37.35,38282701,17.37
20110411,37.60,37.60,36.85,37.60,15316220,17.49
20110412,37.50,37.50,36.10,36.65,24845013,17.05
20110413,36.65,36.90,36.20,36.90,21700636,17.16
20110414,37.00,38.30,36.90,37.70,29646622,17.53
20110415,38.00,38.00,37.20,37.25,18504146,17.33
20110418,37.30,37.60,37.00,37.30,18609708,17.35
20110419,36.80,37.65,36.60,37.55,19409627,17.47
20110420,38.10,40.15,38.00,40.15,47709928,18.67
20110421,41.10,41.40,39.90,40.35,33416838,18.77
20110422,40.40,40.40,39.30,39.65,15726041,18.44
20110425,39.80,40.40,39.80,40.00,10346675,18.6
20110426,40.00,40.95,39.75,40.35,19642366,18.77
20110427,41.00,42.90,40.75,42.60,40080222,19.81
20110428,42.80,42.90,41.20,41.55,28118723,19.33
20110429,41.50,41.95,40.65,41.95,25265628,19.51
20110503,41.80,42.10,39.90,40.05,33917299,17.57
20110504,40.20,40.85,39.10,40.85,22337228,17.92
20110505,40.70,40.70,39.85,39.85,28159109,17.48
20110506,39.00,39.35,38.10,38.70,33834476,16.97
20110509,38.70,40.20,38.50,39.85,38783598,17.48
20110510,39.85,39.90,39.20,39.60,12526209,17.37
20110511,40.00,40.40,39.60,39.65,18428425,17.39
20110512,39.60,39.85,39.35,39.70,9649090,17.41
20110513,40.00,40.80,39.55,39.60,16595900,17.37
20110516,39.60,40.30,39.35,39.75,15237281,17.43
20110517,40.00,40.00,39.15,39.40,12114247,17.28
20110518,39.60,39.60,38.55,38.80,22933113,17.02
20110519,38.80,39.30,38.40,38.60,28773766,16.93
20110520,38.85,38.85,38.10,38.65,11603345,16.95
20110523,38.10,38.45,37.50,37.95,14627515,16.64
20110524,38.00,38.30,37.75,38.20,15415531,16.75
20110525,38.20,39.10,37.95,39.00,12528077,17.11
20110526,39.85,39.85,39.10,39.40,11122866,17.28
20110527,39.40,39.70,39.00,39.30,13494507,17.24
20110530,39.80,42.05,39.50,41.60,42536229,18.25
20110531,42.00,42.00,41.05,41.70,21409858,18.29
20110601,41.10,41.85,41.10,41.40,16419752,18.16
20110602,41.00,41.85,41.00,41.75,10376058,18.31
20110603,41.95,42.00,41.40,41.60,5936990,18.25
20110607,41.60,42.10,41.55,42.10,8034523,18.46
20110608,41.70,42.10,41.05,41.25,9874411,18.09
20110609,40.95,41.15,39.95,40.05,13558602,17.57
20110610,40.60,40.75,39.80,39.80,10379761,17.46
20110613,39.60,40.30,39.40,39.85,7630649,17.48
20110614,40.00,40.75,39.80,40.50,8519416,17.76
20110615,40.55,41.80,40.50,41.25,26208013,18.09
20110616,41.00,41.50,40.80,41.05,10725968,18.00
20110617,41.25,41.45,40.40,40.50,10639534,17.76
20120109,34.90,34.95,34.30,34.45,16054893,13.73
20120110,34.70,35.50,34.60,35.50,14655412,14.14
20120111,35.80,36.20,35.65,36.00,17062410,14.34
20120112,36.00,36.30,35.70,36.20,19847816,14.42
20120113,36.50,36.75,36.10,36.20,13384026,14.42
20120116,36.30,36.40,35.05,35.35,8621845,14.08
20120117,35.55,36.00,35.30,36.00,6316805,14.34
20120118,36.30,36.30,35.35,36.25,11304235,14.44
20120130,37.10,37.75,37.10,37.35,21980230,14.88
20120131,37.10,37.35,36.55,36.90,15149921,14.70
20120201,36.95,37.05,36.15,36.30,10801709,14.46
20120202,36.50,37.10,36.30,37.00,9729316,14.74
20120203,36.95,36.95,36.30,36.50,15368109,14.54
20120204,36.90,37.30,36.60,36.95,12912134,14.72
20120206,36.90,36.90,36.20,36.40,10934322,14.50
20120207,36.20,36.80,36.10,36.10,16681835,14.38
20120208,36.30,36.50,35.95,36.15,20824438,14.40
20120209,36.20,36.80,35.65,36.35,42842571,14.48
