Date,Open
2014/11/14,154.95
2014/11/17,154.35
2014/11/18,160.5
2014/11/19,160.2
2014/11/20,157.1
2014/11/21,157.2
2014/11/24,157
2014/11/25,157.2
2014/11/26,154.05
2014/11/27,159.5
2014/11/28,162.25
2014/12/1,161.85
2014/12/2,159.7
2014/12/3,164.9
2014/12/4,163.7
2014/12/5,163.5
2014/12/8,160.95
2014/12/9,158.75
2014/12/10,154
2014/12/11,156
2014/12/12,155.2
2014/12/15,152.1
2014/12/16,150.7
2014/12/17,144.3
2014/12/18,146.45
2014/12/19,148.5
2014/12/22,147.55
2014/12/23,147.8
2014/12/24,148.95
2014/12/26,147.15
2014/12/29,147.15
2014/12/30,148.8
2014/12/31,148.8
2015/1/1,150.95
2015/1/2,150.9
2015/1/5,151.65
2015/1/6,151.95
2015/1/7,147.2
2015/1/8,149.9
2015/1/9,154.5
2015/1/12,156.35
2015/1/13,157.55
2015/1/14,155.05
2015/1/15,156.6
2015/1/16,155
2015/1/19,154.3
2015/1/20,156.8
2015/1/21,157.4
2015/1/22,157.1
2015/1/23,159.15
2015/1/27,161
2015/1/28,158.8
2015/1/29,158.95
2015/1/30,158.95
2015/2/2,157.9
2015/2/3,164
2015/2/4,160.7
2015/2/5,159.25
2015/2/6,154.4
2015/2/9,151.5
2015/2/10,148.9
2015/2/11,151.2
2015/2/12,154.95
2015/2/13,155.65
2015/2/16,157.85
2015/2/18,155.5
2015/2/19,157.4
2015/2/20,157.75
2015/2/23,160.95
2015/2/24,156
2015/2/25,155.55
2015/2/26,153.9
2015/2/27,153.4
2015/2/28,156.75
2015/3/2,155.5
2015/3/3,158.5
2015/3/4,164
2015/3/5,157.9
2015/3/9,159.05
2015/3/10,159.65
2015/3/11,157.35
2015/3/12,158.5
2015/3/13,160.95
2015/3/16,154.95
2015/3/17,155.25
2015/3/18,156.9
2015/3/19,156.65
2015/3/20,153.75
2015/3/23,149.8
2015/3/24,147.35
2015/3/25,148
2015/3/26,148.05
2015/3/27,148.45
2015/3/30,147.1
2015/3/31,150.25
2015/4/1,148.8
2015/4/6,151.95
2015/4/7,152.4
2015/4/8,151.8
2015/4/9,152.35
2015/4/10,152.7
2015/4/13,161.65
2015/4/15,161.45
2015/4/16,158.9
2015/4/17,159.25
2015/4/20,157.3
2015/4/21,152.9
2015/4/22,150.9
2015/4/23,151
2015/4/24,150.65
2015/4/27,147.65
2015/4/28,141.6
2015/4/29,142.25
2015/4/30,142.25
2015/5/4,143.4
2015/5/5,143.85
2015/5/6,144.25
2015/5/7,139
2015/5/8,139
2015/5/11,141.4
2015/5/12,143.3
2015/5/13,143.15
2015/5/14,145.05
2015/5/15,146.85
2015/5/18,147.75
2015/5/19,147.8
2015/5/20,147.45
2015/5/21,146.15
2015/5/22,147
2015/5/25,147.5
2015/5/26,146.8
2015/5/27,147.4
2015/5/28,149.4
2015/5/29,143.05
2015/6/1,145.3
2015/6/2,145
2015/6/3,140.6
2015/6/4,137.65
2015/6/5,137.9
2015/6/8,138.8
2015/6/9,135
2015/6/10,137.6
2015/6/11,137
2015/6/12,133.6
2015/6/15,127.85
2015/6/16,128.95
2015/6/17,129.3
2015/6/18,132.95
2015/6/19,133.2
2015/6/22,133.75
2015/6/23,135.6
2015/6/24,133.35
2015/6/25,132.9
2015/6/26,133.2
2015/6/29,132
2015/6/30,129.75
2015/7/1,132.5
2015/7/2,135.45
2015/7/3,137.5
2015/7/6,133.1
2015/7/7,135.6
2015/7/8,136.1
2015/7/9,134.9
2015/7/10,134.8
2015/7/13,134.9
2015/7/14,137
2015/7/15,137.5
2015/7/16,138.95
2015/7/17,138.9
2015/7/20,138.2
2015/7/21,140.1
2015/7/22,137
2015/7/23,139.95
2015/7/24,140.85
2015/7/27,140.6
2015/7/28,137.8
2015/7/29,138.15
2015/7/30,137.7
2015/7/31,136
2015/8/3,141.4
2015/8/4,143.4
2015/8/5,144.2
2015/8/6,142
2015/8/7,142.95
2015/8/10,142
2015/8/11,139.2
2015/8/12,137.7
2015/8/13,134.5
2015/8/14,131.2
2015/8/17,132.5
2015/8/18,134.2
2015/8/19,134.5
2015/8/20,133.3
2015/8/21,131.5
2015/8/24,128.9
2015/8/25,116.1
2015/8/26,117.95
2015/8/27,119.25
2015/8/28,118.35
2015/8/31,117.8
2015/9/1,118.75
2015/9/2,116.1
2015/9/3,120.75
2015/9/4,124.55
2015/9/7,121.6
2015/9/8,121.4
2015/9/9,122.1
2015/9/10,122
2015/9/11,124.8
2015/9/14,124.1
2015/9/15,124.05
2015/9/16,126.95
2015/9/18,124
2015/9/21,123.05
2015/9/22,126.2
2015/9/23,123.35
2015/9/24,124.8
2015/9/28,125
2015/9/29,126.5
2015/9/30,127.4
2015/10/1,128.95
2015/10/5,131.45
2015/10/6,132.5
2015/10/7,132.1
2015/10/8,134.9
2015/10/9,134
2015/10/12,135
2015/10/13,134.55
2015/10/14,133
2015/10/15,134.2
2015/10/16,135
2015/10/19,133.6
2015/10/20,134.7
2015/10/21,139.7
2015/10/23,138.7
2015/10/26,138.4
2015/10/27,138.7
2015/10/28,135.8
2015/10/29,135.9
2015/10/30,137
2015/11/2,134
2015/11/3,133.3
2015/11/4,132
2015/11/5,131.75
2015/11/6,126.8
2015/11/9,124.9
2015/11/10,127.3
2015/11/11,126.7
2015/11/13,128
2015/11/16,127.8
2015/11/17,129.7
2015/11/18,133.65
2015/11/19,129.6
2015/11/20,131.05
2015/11/23,134.8
2015/11/24,133
2015/11/26,134.6
2015/11/27,134.9
2015/11/30,138
2015/12/1,138.05
2015/12/2,136.4
2015/12/3,136.1
2015/12/4,134
2015/12/7,134.1
2015/12/8,134.95
2015/12/9,135.15
2015/12/10,132.15
2015/12/11,135.3
2015/12/14,131.9
2015/12/15,134.85
2015/12/16,134.4
2015/12/17,137.6
2015/12/18,142.45
2015/12/21,141.55
2015/12/22,143.6
2015/12/23,142
2015/12/24,143
2015/12/28,144.9
2015/12/29,144.4
2015/12/30,142.5
2015/12/31,147
2016/1/1,146.05
2016/1/4,145.9
2016/1/5,144
2016/1/6,147.1
2016/1/7,144.1
2016/1/8,140.65
2016/1/11,143.2
2016/1/12,142.4
2016/1/13,141.75
2016/1/14,132.1
2016/1/15,135
2016/1/18,128
2016/1/19,122.95
2016/1/20,124.6
2016/1/21,123.05
2016/1/22,123.85
2016/1/25,125.85
2016/1/27,124.95
2016/1/28,124.95
2016/1/29,124.1
2016/2/1,126.8
2016/2/2,127.4
2016/2/3,123.05
2016/2/4,123.1
2016/2/5,121.9
2016/2/8,123.05
2016/2/9,123
2016/2/10,120.5
2016/2/11,112.7
2016/2/12,103.25
2016/2/15,105.1
2016/2/16,107.7
2016/2/17,103
2016/2/18,105.4
2016/2/19,105
2016/2/22,107.3
2016/2/23,109
2016/2/24,106.2
2016/2/25,107.8
2016/2/26,107.95
2016/2/29,105
2016/3/1,104.2
2016/3/2,110
2016/3/3,110.5
2016/3/4,110
2016/3/8,114.3
2016/3/9,115.65
2016/3/10,117.8
2016/3/11,116.55
2016/3/14,116.05
2016/3/15,116
2016/3/16,115.7
2016/3/17,116
2016/3/18,116.5
2016/3/21,119.2
2016/3/22,121.05
2016/3/23,121.6
2016/3/28,120
2016/3/29,119.1
2016/3/30,119.9
2016/3/31,122
2016/4/1,122
2016/4/4,122.85
2016/4/5,121
2016/4/6,119.6
2016/4/7,118.1
2016/4/8,118.5
2016/4/11,118
2016/4/12,119.5
2016/4/13,119.05
2016/4/18,120.85
2016/4/20,120.2
2016/4/21,122.4
2016/4/22,119
2016/4/25,120.4
